Station, Date,   Air Temperature(Celcius),  Relative Humidity,  WindSpeed  (knots), Max Wind Speed,   MAX  ,  MIN  ,Precipitation 
948700,2016-12-31,19,56.8,7.9,11.1,   72.0*,  61.9*, 0.00I
948700,2017-01-02,15,50.7,9.2,13,   72.0*,58.3, 0.02G
948700,2017-01-03,16,53.6,8.1,15,   68.4*,  54.3*, 0.00G
948700,2017-01-04,24,61.6,7.7,14,   87.3*,54, 0.00I
948700,2017-01-05,24,62.3,7,13,   85.5*,  65.7*, 0.00I
948700,2017-01-06,26,60.8,6.9,12,   92.1*,65.5, 0.00I
948700,2017-01-07,32,54.1,12.8,19,   98.1*,64.8, 0.00I
948700,2017-01-08,20,57.7,9.9,18.1,   76.1*,  64.2*, 0.00I
948700,2017-01-09,19,56.3,5.8,8.9,   73.6*,  60.6*, 0.00I
948700,2017-01-10,20,57,8.7,13,   77.2*,59.4, 0.00I
948700,2017-01-11,18,53.3,7.9,14,   72.0*,  56.7*, 0.00I
948700,2017-01-12,22,56.3,8,13,   79.2*,56.1, 0.08G
948700,2017-01-13,19,54.1,11.2,18.1,   81.0*,  60.8*, 0.31G
948700,2017-01-14,17,50.4,11.9,16.9,   71.1*,60.3, 0.00G
948700,2017-01-15,16,50.8,5.8,12,   68.7*,  51.6*, 0.00I
948700,2017-01-16,24,55.4,5.9,9.9,   85.5*,51.3, 0.00I
948700,2017-01-17,24,53.4,9.9,15.9,   95.0*,  62.8*, 0.00I
948700,2017-01-18,16,46.7,10,16.9,   68.0*,  50.4*, 0.00I
948700,2017-01-19,19,57.2,8.9,15,   72.7*,48.4, 0.98G
948700,2017-01-20,16,50.9,12.9,21,   66.2*,  58.8*, 0.03G
948700,2017-01-21,17,52.5,6.7,12,   69.6*,  52.7*, 0.00G
948700,2017-01-22,23,59,6,12,   85.8*,52.5, 0.00I
948700,2017-01-23,25,58.3,12.2,22,   96.3*,64.6, 0.04G
948700,2017-01-24,16,48.2,9.9,18.1,   69.1*,  51.8*, 0.01G
948700,2017-01-25,17,50.8,9,15.9,   70.2*,50.4, 0.00G
948700,2017-01-26,18,53.5,8.8,13,   69.1*,57, 0.00I
948700,2017-01-27,19,56.1,6.9,12,   76.8*,  57.6*, 0.00A
948700,2017-01-28,18,57,7.4,15,   75.2*,  56.1*, 0.00I
948700,2017-01-29,22,58,6.9,12,   80.4*,55.8, 0.00I
948700,2017-01-30,20,55.8,10.5,15.9,   83.7*,59.7, 0.01G
948700,2017-01-31,16,48.4,8.1,15.9,   70.2*,  53.6*, 0.00G
948700,2017-02-01,16,48.9,5.4,8.9,   67.5*,53.1, 0.00I
948700,2017-02-02,18,53,6.6,14,   73.4*,  58.5*, 0.00I
948700,2017-02-03,18,54.4,5.7,9.9,   77.4*,56.1, 0.00I
948700,2017-02-04,26,53.7,8.7,15,   97.0*,54.7, 0.00I
948700,2017-02-05,21,64.5,10.6,15.9,   86.4*,  59.4*, 1.26G
948700,2017-02-06,16,48.1,9.3,12,   68.2*,  57.9*, 0.00G
948700,2017-02-07,20,57.4,10.9,22,   78.8*,57.6, 0.00I
948700,2017-02-08,31,61.9,14.1,23.9,   96.3*,60.3, 0.00I
948700,2017-02-09,22,62.7,7.6,18.1,   92.7*,  64.8*, 0.00I
948700,2017-02-10,21,60.4,6.8,12,   78.8*,64.4, 0.00I
948700,2017-02-11,19,53.8,9.2,15,   73.4*,  60.3*, 0.02G
948700,2017-02-12,16,48.3,14.4,19,   65.7*,  57.9*, 0.00G
948700,2017-02-13,16,53.6,12.1,16.9,   68.4*,57.6, 0.16G
948700,2017-02-14,14,48.5,7.3,14,   66.0*,  49.5*, 0.00G
948700,2017-02-15,22,53.4,10.9,19,   88.2*,47.7, 0.00I
948700,2017-02-16,18,53.6,7.2,15,   72.5*,  58.8*, 0.00I
