Latitude,Longitude,Surface Temperature (kelvin),Datetime,Power,Confidence,Date,Surface Temperature (Celcius)
-37.966,145.051,341.8,2017-12-27T04:16:51,26.7,78,2017-12-27,68
-35.541,143.311,336.3,2017-12-27T00:02:15,62,82,2017-12-27,63
-35.554,143.307,326.8,2017-12-27T00:02:15,23.8,67,2017-12-27,53
-35.543,143.316,340.4,2017-12-27T00:02:14,84.2,86,2017-12-27,67
-37.708,145.1,327.8,2017-12-25T04:29:08,16.2,80,2017-12-25,54
-35.646,142.282,305.6,2017-12-24T13:12:01,11.8,65,2017-12-24,32
-38.075,143.76,320.1,2017-12-21T04:53:29,17.6,72,2017-12-21,46
-37.636,149.33,316.7,2017-12-16T15:38:39,37.1,94,2017-12-16,43
-37.624,149.332,306.8,2017-12-16T15:38:39,20.8,69,2017-12-16,33
-37.82,142.323,327.6,2017-12-16T04:35:15,18.9,62,2017-12-16,54
-37.875,142.51,346.2,2017-12-16T04:35:13,46,93,2017-12-16,73
-37.608,149.328,328.3,2017-12-16T04:34:58,69.3,84,2017-12-16,55
-37.613,149.305,348.2,2017-12-16T04:34:58,160.9,95,2017-12-16,75
-37.644,149.346,328.9,2017-12-16T04:34:57,63.5,59,2017-12-16,55
-37.624,149.314,340.1,2017-12-16T04:34:57,113.1,90,2017-12-16,66
-37.661,149.327,329.7,2017-12-16T04:34:57,64.4,75,2017-12-16,56
-37.649,149.322,333.8,2017-12-16T04:34:57,78.9,79,2017-12-16,60
-38.057,144.211,346.3,2017-12-16T00:21:12,48.8,93,2017-12-16,73
-38.046,144.201,322,2017-12-16T00:21:11,11.8,60,2017-12-16,48
-38.048,144.213,329,2017-12-16T00:21:11,20,82,2017-12-16,55
-37.651,149.345,337.8,2017-12-16T00:20:53,42.2,82,2017-12-16,64
-37.63,149.335,330.7,2017-12-16T00:20:53,27.8,53,2017-12-16,57
-37.627,149.33,315.9,2017-12-15T13:17:17,23.1,92,2017-12-15,42
-37.658,149.339,309.8,2017-12-15T13:17:17,17.3,78,2017-12-15,36
-37.623,149.323,311.9,2017-12-15T13:17:17,17.8,51,2017-12-15,38
-38.038,142.986,313.4,2017-12-15T01:16:23,32.8,65,2017-12-15,40
-37.95,142.366,343.2,2017-12-14T04:47:25,58.7,92,2017-12-14,70
-38.231,147.172,333.3,2017-12-13T04:04:19,17.9,83,2017-12-13,60
-37.903,145.25,317.7,2017-12-12T00:45:38,10.4,53,2017-12-12,44
-37.987,144.005,311.2,2017-12-10T00:57:59,10.4,50,2017-12-10,38
-34.289,141.712,327.7,2017-12-10T00:56:57,12.3,67,2017-12-10,54
-36.294,146.149,335.1,2017-12-09T00:14:34,28.7,87,2017-12-09,61
-36.285,146.151,327.8,2017-12-09T00:14:34,18.2,81,2017-12-09,54
-36.277,146.165,331.8,2017-12-09T00:14:33,24.5,84,2017-12-09,58
-36.275,146.154,333.6,2017-12-09T00:14:33,26.7,86,2017-12-09,60
-36.273,146.155,309.3,2017-12-08T13:11:44,11.5,77,2017-12-08,36
-36.284,146.145,327.7,2017-12-08T13:11:44,27.6,100,2017-12-08,54
-36.282,146.157,344.7,2017-12-08T13:11:44,53.4,100,2017-12-08,71
-36.293,146.148,325.8,2017-12-08T13:11:43,25.5,100,2017-12-08,52
-36.291,146.159,313.2,2017-12-08T13:11:43,13.1,56,2017-12-08,40
-37.635,149.303,320.5,2017-11-30T23:25:57,71.8,52,2017-11-30,47
-37.591,149.33,327,2017-11-30T15:38:36,54.7,100,2017-11-30,53
-37.59,149.31,315.5,2017-11-30T15:38:36,27.7,51,2017-11-30,42
-37.633,149.264,316.1,2017-11-30T15:38:36,29.5,64,2017-11-30,42
-37.585,149.336,327.4,2017-11-30T15:38:35,57,100,2017-11-30,54
-37.58,149.331,309,2017-11-30T15:38:35,18.4,69,2017-11-30,35
-37.583,149.316,322.6,2017-11-30T15:38:35,44.6,100,2017-11-30,49
-37.38,149.334,304.5,2017-11-30T15:38:32,14.1,61,2017-11-30,31
-37.602,149.295,307.1,2017-11-30T12:22:15,24.8,62,2017-11-30,33
-37.598,149.29,305.4,2017-11-30T12:22:15,21.4,64,2017-11-30,32
-37.596,149.319,312.1,2017-11-30T12:22:15,40,84,2017-11-30,38
-37.63,149.232,316,2017-11-30T12:22:15,49.7,81,2017-11-30,42
-37.644,149.233,328.7,2017-11-30T12:22:15,103.4,100,2017-11-30,55
-37.642,149.263,338.6,2017-11-30T12:22:15,158.5,100,2017-11-30,65
-37.634,149.237,344.4,2017-11-30T12:22:14,197.8,100,2017-11-30,71
-37.384,149.336,333,2017-11-30T04:35:00,82.4,84,2017-11-30,59
