	0	1	2	3	4	5	6	7	8	9	10	11
Afghanistan	-	-	-	29 x	54 x	33 x	12 x	59 x	9 x	5 x	-	20
Albania	4	43	39	78	31	5	2	19	9	22	-	76
Algeria	6 x	50 x	7 x	39 x,y	22 x	3 x	1 x	15 x	4 x	13 x	-	61 x
Andorra	-	-	-	-	-	-	-	-	-	-	-	-
Angola	12 x	55 x	11 x	77 x	37 x	16 x	7 x	29 x	8 x	-	44	45 x
Antigua and Barbuda	5 x	-	-	-	-	-	-	-	-	-	-	-
Argentina	7	-	54	-	28 x	2 x	0 x	8 x	1 x	10 x	-	-
Armenia	8	36	35	75	23	5	1	19	4	15	-	97 x
Australia	7 x	-	-	-	-	-	-	-	-	-	-	-
Austria	7 x	-	-	-	-	-	-	-	-	-	-	-
Azerbaijan	10 x	32 x	12 x	83 x	16 x	8 x	2 x	25 x	7 x	13 x	90 w	54 x
Bahamas	11 x	-	-	-	-	-	-	-	-	-	-	-
Bahrain	-	-	-	-	-	-	-	-	-	-	-	-
Bangladesh	22 x	47	64	62	90	36	10	41	16	2	99	82 y
Barbados	12	-	-	-	-	-	-	-	-	-	-	-
Belarus	4 x	21 x	9 x	38 x	4 x	1 x	1 x	4 x	2 x	10 x	-	-
Belgium	-	-	-	-	-	-	-	-	-	-	-	-
Belize	11	62	15	69	35	6	1	19	3	8	-	-
Benin	15 x	50	33	76 y	92	21	8	45	16	18	99	86
Bhutan	10	59	49	67	66	13	3	34	6	8	43	96 x,y
Bolivia (Plurinational State of)	6	64	60	83	40	4	1	27	1	9	41	89 y
Bosnia and Herzegovina	3	42	19	71	12	2	1	9	2	17	-	62 x,y
Botswana	13 x	40 x	20 x	46 x,y	6 x	11 x	4 x	31 x	7 x	11 x	-	65 x
Brazil	8	68	41	70 x,y	25 x	2 x	-	7 x	2 x	7 x	-	96 x,y
Brunei Darussalam	-	-	-	-	-	-	-	-	-	-	-	-
Bulgaria	9	-	-	-	-	-	-	-	-	-	-	100 x
Burkina Faso	14	42	38	57	80	24	6	33	11	2	99	96 y
Burundi	13	74	69	70 y	79	29	8	58	6	3	-	96 y
Cabo Verde	6 x	73 x	60 x	80 x,y	13 x	-	-	-	-	-	-	75
Cambodia	11	66	74	88	43	28	7	40	11	2	98	83 y
Cameroon	11 x	20 x	20	63 x	24	15	5	33	6	7	88	49 x,y
Canada	6 x	-	-	-	-	-	-	-	-	-	-	-
Central African Republic	14	44	34	60	32	24	8	41	7	2	83	65
Chad	20	29	3	46	59	30	13	39	16	3	0	54
Chile	6	-	63 x	-	-	-	-	-	-	-	-	-
China	3	41	28	43 y	-	4	-	10	2	7	-	97 y
Colombia	6 x	49 x	43	86	33	3	1	13	1	5	-	-
Comoros	25 x	25 x	-	34 x,y	45 x	15	4	30	11	9	-	82 x
Congo	13 x	39 x	19 x	78 x,y	21 x	11 x	3 x	30 x	8 x	3	-	82 x
Cook Islands	3 x	-	-	-	-	-	-	-	-	-	-	-
Costa Rica	7	-	19 x	92	40	1	-	6	1	8	-	-
Croatia	5	-	-	-	-	-	-	-	-	-	-	-
Cuba	5	77	49	77	17	-	-	-	-	-	-	88 x
Cyprus	-	-	-	-	-	-	-	-	-	-	-	-
Czech Republic	7 x	-	-	-	-	-	-	-	-	-	-	-
Côte d'Ivoire	17 x	31	12	64	38	15	3	30	8	3	99	84 x,y
Democratic People's Republic of Korea	6	18	65 x	31 x,y	36	15	3	28	4	-	99	25 y
Democratic Republic of the Congo	10	43	37	52	53	24	8	43	9	5	84	59
Denmark	5 x	-	-	-	-	-	-	-	-	-	-	-
Djibouti	10 x	55 x	1 x	35 x	18 x	23	5	31	10	8	88	0 x
Dominica	10	-	-	-	-	-	-	-	-	-	-	-
Dominican Republic	11 x	69 x	8 x	88 x	14	3 x	0 x	10 x	2 x	8	-	19 x
Ecuador	8	-	40 x	76 x,y	23 x	6 x	1 x	29 x	2 x	5 x	-	-
Egypt	13	43 x	53	70	35	6	1	29	7	21	62	79
El Salvador	9	33	31	80	54	6	1	19	1	6	81	62 x
Equatorial Guinea	13 x	-	24 x	-	-	11 x	5 x	35 x	3 x	8 x	-	33 x
Eritrea	14 x	78 x	52 x	43 x,y	62 x	35 x	13 x	44 x	15 x	2 x	38	68 x
Estonia	4 x	-	-	-	-	-	-	-	-	-	-	-
Ethiopia	20 x	52	52	49	82	29	9	44	10	2	31	15 y
Fiji	10 x	57 x	40 x	-	-	-	-	-	-	-	-	-
Finland	4 x	-	-	-	-	-	-	-	-	-	-	-
France	-	-	-	-	-	-	-	-	-	-	-	-
Gabon	14 x	32	6	62 x,y	4	6	1	17	3	7	2	36 x
Gambia	10	52	34	34	31	17	4	23	10	2	46	22
Georgia	5	69	55	43 y	17	1	1	11	2	20	-	100
Germany	-	-	-	-	-	-	-	-	-	-	-	-
Ghana	11	46	46	75	37	13	3	23	6	3	17	35
Greece	-	-	-	-	-	-	-	-	-	-	-	-
Grenada	9 x	-	-	-	-	-	-	-	-	-	-	-
Guatemala	11	56	50	71 y	46	13	-	48	1	5	14	76 x
Guinea	12 x	40 x	48	32 y	-	16	4	35	5	4	99	41
Guinea-Bissau	11	55	38	43	65	18	5	32	6	3	95	12
Guyana	14	43 x	33	81	49	11	2	18	5	6	-	11
Haiti	23	47	40	87	31	11	3	22	5	4	54	18
Holy See	-	-	-	-	-	-	-	-	-	-	-	-
Honduras	10	64	31	83 x	43	7	1	23	1	5	58	-
Hungary	9 x	-	-	-	-	-	-	-	-	-	-	-
Iceland	4 x	-	-	-	-	-	-	-	-	-	-	-
India	28 x	41	46 x	56 x	77 x	43 x	16 x	48 x	20 x	2 x	59	71
Indonesia	9 x	29	42	85 x	55	18	5	36	13	12	73	62 x,y
Iran (Islamic Republic of)	7 x	56 x	23 x	68 x,y	58 x	-	-	-	-	-	-	99 x,y
Iraq	13	43	20	36	23	9	4	23	7	12	-	29
Ireland	-	-	-	-	-	-	-	-	-	-	-	-
Israel	8 x	-	-	-	-	-	-	-	-	-	-	-
Italy	-	-	-	-	-	-	-	-	-	-	-	-
Jamaica	12 x	62 x	15 x	36 x	24 x	3	-	5	4	4	-	-
Japan	8 x	-	-	-	-	-	-	-	-	-	-	-
Jordan	13 x	39 x	23	83 x	13	3	1	8	2	4	-	88 x,y
Kazakhstan	5	68	32	49	26	4	1	13	4	1	-	85
Kenya	8	58	32	85	54	16	4	35	7	5	66	98
Kiribati	-	-	69	-	82	-	-	-	-	-	-	-
Kuwait	-	-	-	-	-	-	-	-	-	-	-	-
Kyrgyzstan	5 x	65 x	32 x	60 x	26 x	5	1	23	1	4	-	76 x
Lao People's Democratic Republic	15	30 x	26 x	41 x	48 x	27	7	44	6	2	47	80 y
Latvia	5 x	-	-	-	-	-	-	-	-	-	-	-
Lebanon	12	-	15	35 x,y	15	-	-	-	-	-	-	71
Lesotho	11	53	54	68	35	13	2	39	4	7	-	84
Liberia	14	67 x	29 x	-	-	15	2	42	3	5	13	-
Libya	-	-	-	-	-	4 x	-	21 x	4 x	22 x	-	-
Liechtenstein	-	-	-	-	-	-	-	-	-	-	-	-
Lithuania	4 x	-	-	-	-	-	-	-	-	-	-	-
Luxembourg	8 x	-	-	-	-	-	-	-	-	-	-	-
Madagascar	16	72	51	86	61	36 x	-	50	15 x	-	88	53
Malawi	14	95	71	86	77	13	3	47	4	8	60	97 y
Malaysia	11	-	-	-	-	12	2	17	12	5	-	18
Maldives	11	64	48	91	68	17	3	19	11	7	-	44 x
