Congressional District,Two-Digit District,Average Household Size,% Housing Units That Are Mobile Homes,% Housing Units Built in 2005 or Later,% Housing Units Built in 1939 or Earlier,% Homes Heated Principally With Gas,% Homes Heated Principally With Electricity,"% Homes Heated Principally with Fuel Oil, Kerosene, Etc."
Alabama 1,AL-01,2.49,11.9,4.5,4.5,37,62.1,0.1
Alabama 2,AL-02,2.52,17,3.9,6.2,34.1,64.6,0.2
Alabama 3,AL-03,2.42,18.6,5.3,7.4,41,56.3,0.3
Alabama 4,AL-04,2.54,19.9,2.6,7.2,39.4,57.3,0.7
Alabama 5,AL-05,2.47,10.4,5.9,4.8,33.9,64.3,0.6
Alabama 6,AL-06,2.57,11.9,5.8,5,51.4,47.4,0.2
Alabama 7,AL-07,2.5,10.9,2.7,10.1,56,42.8,0.2
Alaska At Large,AK-00,2.8,4.6,3.5,2.1,51,9.2,33.1
Arizona 1,AZ-01,2.66,19.7,6.6,3.7,58,26.9,0.3
Arizona 2,AZ-02,2.81,9.9,9.9,0.5,36.7,61.3,0.1
Arizona 3,AZ-03,2.72,3.7,4.4,0.5,31.3,68.1,0
Arizona 4,AZ-04,3.58,4.3,7.8,3.7,28.3,70.6,0
Arizona 5,AZ-05,2.51,2.4,2,0.4,N,N,N
Arizona 6,AZ-06,2.87,14.4,8.5,0.4,29.4,69.9,0.1
Arizona 7,AZ-07,3.06,20.1,9.4,3,46.2,49.7,0
Arizona 8,AZ-08,2.46,8.5,6.2,2.1,63.7,35.2,0.1
Arkansas 1,AR-01,2.42,13.4,3.1,5.9,53.6,40.6,0.2
Arkansas 2,AR-02,2.41,10.7,5.8,5.1,55.3,41.9,0
Arkansas 3,AR-03,2.65,8.4,6.3,5.5,53,39.8,0.3
Arkansas 4,AR-04,2.47,17.2,2.7,7,49.2,45.7,0.1
California 1,CA-01,2.58,10.7,3.6,8.6,63.6,21.2,3.5
California 2,CA-02,2.61,11.4,4.8,7.5,55.6,26.9,3.8
California 3,CA-03,2.76,2.9,5.1,2.6,67.9,28.1,0.1
California 4,CA-04,2.57,5.6,4.7,5.4,64.3,19.7,2.3
California 5,CA-05,2.63,2.4,4.2,9.1,59.8,39,0
California 6,CA-06,2.45,3.5,2.4,10.8,74,21.1,0.2
California 7,CA-07,2.89,2.9,2.7,6.8,76.5,21.5,0
California 8,CA-08,2.4,0.1,1.1,54.2,62.8,32.4,0.2
California 9,CA-09,2.53,0.5,1.3,35.4,75.2,22.4,0.1
California 10,CA-10,2.75,1.6,3.4,2.7,73.7,24.2,0.3
California 11,CA-11,3.04,2.7,5.7,3.8,71.9,26,0
California 12,CA-12,2.75,0.6,0.7,14,74.4,24.3,0.1
California 13,CA-13,3.04,2.4,1.7,7.1,74.9,23.8,0
California 14,CA-14,2.64,3,2,7.5,72.5,23.8,0.3
California 15,CA-15,2.87,1.4,2.1,2.9,69.3,29.1,0
California 16,CA-16,3.28,4.5,3.3,8.4,68.1,30,0.2
California 17,CA-17,2.96,4.8,1.9,9.8,72.2,21.7,0.1
California 18,CA-18,3.29,5.2,4.4,8.3,70,26.6,0.2
California 19,CA-19,2.95,6.6,5.1,4.5,61.9,28.9,0.3
California 20,CA-20,3.6,4.1,4.5,10.5,74.8,22.2,0.1
California 21,CA-21,3.25,6.2,7.1,5.9,67,28.5,0
California 22,CA-22,2.83,8.2,7,4.5,77.6,18.1,0
California 23,CA-23,2.96,5.3,2.7,8.1,75.9,16.9,0
California 24,CA-24,2.86,4.6,2.5,3.7,83.5,13.5,0.1
California 25,CA-25,3.27,7.5,5.7,1.8,83,12.9,0.5
California 26,CA-26,3,3.2,2.4,6.6,81.9,16.8,0
California 27,CA-27,3.01,1.7,1.5,6.9,71.7,23.5,0
California 28,CA-28,3.12,0.5,1.2,9.6,64.1,26.7,0.1
California 29,CA-29,2.73,0.1,1.1,23,73.7,23.4,0
California 30,CA-30,2.22,1,1.1,15.3,73.8,24.4,0.1
California 31,CA-31,3.2,0.2,1.4,38.2,67.2,23.5,0
California 32,CA-32,3.73,2.3,0.9,8.1,69,23.2,0.1
California 33,CA-33,2.56,0.1,0.7,35.5,66.4,27,0.1
California 34,CA-34,3.58,2.1,1.3,21.7,56.9,24,0
California 35,CA-35,3.21,0.8,1.4,15.6,67.9,21.4,0
California 36,CA-36,2.56,1.3,1.6,10.2,70.8,24.2,0.1
California 37,CA-37,3.46,2.9,1,17.5,67.6,25.5,0.1
California 38,CA-38,3.8,2.5,0.9,7.9,69,20,0
California 39,CA-39,3.65,1.3,0.3,8.9,65.8,24.1,0.1
California 40,CA-40,3.12,3.1,1.3,2.6,75.5,20.8,0
California 41,CA-41,2.93,8.4,6.5,4.8,83.1,13.9,0
California 42,CA-42,3.1,2.1,1.8,1.6,85.4,13.3,0
California 43,CA-43,3.92,4.8,2.8,5.5,74.8,19.2,0
California 44,CA-44,3.39,3.2,6.7,3,81.2,16.2,0
California 45,CA-45,3.02,10.9,8.7,1.3,78.8,18.6,0
California 46,CA-46,2.62,3,1.2,3.7,75.2,20.8,0
California 47,CA-47,4.22,5.3,0.8,5.9,60.9,20.7,0.1
California 48,CA-48,2.65,2.5,3.4,1.9,73.3,24.1,0
California 49,CA-49,3.09,7.1,6.6,1.4,73.7,22.2,0.2
California 50,CA-50,2.81,3.6,4.4,1.1,72.1,24.7,0.1
California 51,CA-51,3.36,6.5,4.9,2.7,58,37.7,0.1
California 52,CA-52,2.79,5.8,2.8,2.1,65,29.9,0.1
California 53,CA-53,2.29,0.7,2.5,13.2,57.6,33.2,0
Colorado 1,CO-01,2.37,0.6,2.9,22.4,78,20,0.1
Colorado 2,CO-02,2.62,4.6,3.1,3.3,81,16.9,0.2
Colorado 3,CO-03,2.49,10.7,3.3,14.2,76.1,14.9,0.3
Colorado 4,CO-04,2.53,6.2,4.6,10.8,84,13.7,0.2
Colorado 5,CO-05,2.57,6.2,5.8,7.4,82.2,14.3,0.2
Colorado 6,CO-06,2.73,0.7,7,1.6,85.5,12.8,0.1
Colorado 7,CO-07,2.49,2.7,3.9,2.5,83.1,15.9,0.1
Connecticut 1,CT-01,2.47,0.6,1.6,24.1,46.5,13.2,38.4
Connecticut 2,CT-02,2.53,1.9,2.8,23.3,16.2,15,63.9
Connecticut 3,CT-03,2.49,0.7,1.1,27,40.5,13.4,44.3
Connecticut 4,CT-04,2.68,0.1,1.6,22.2,38,14,47.2
Connecticut 5,CT-05,2.58,0.4,1.6,23.9,27.2,17.9,51.9
